radius_worst,concave points_mean,perimeter_worst,concave points_worst,concavity_mean,area_mean,perimeter_mean,concavity_worst,radius_mean
0.255425116,0.237624254,0.245480353,0.442611684,0.156138707,0.179342524,0.301775966,0.190894569,0.310426428
0.233724653,0.154572565,0.22750137,0.250274914,0.107029053,0.159703075,0.289129984,0.150958466,0.288655403
0.081821416,0.103180915,0.073310424,0.213986254,0.069259606,0.055312831,0.114366664,0.070822684,0.119409343
0.36072572,0.484890656,0.371980676,0.82233677,0.486644799,0.237921527,0.405707968,0.503594249,0.395617398
0.755602988,0.429025845,0.685243289,0.690378007,0.257029053,0.534676564,0.645497892,0.251996805,0.6710682
0.659196016,0.455765408,0.630459684,0.719931271,0.357310216,0.322841994,0.457535761,0.375,0.457617493
0.50942725,0.696322068,0.507943623,0.87628866,0.522258669,0.326277837,0.498997996,0.307747604,0.480808368
0.344717182,0.436530815,0.358533792,0.928178694,0.333880037,0.212640509,0.370534172,0.442412141,0.359647877
0.475987193,0.384244533,0.445689526,0.512027491,0.349109653,0.403181336,0.541151268,0.275239617,0.550380993
0.438989683,0.434940358,0.492504607,0.695532646,0.394329897,0.249798515,0.40501693,0.505990415,0.393724265
0.429740306,0.39527833,0.420787888,0.500343643,0.231373008,0.34426299,0.492087624,0.198801917,0.501159544
0.541444326,0.618290258,0.548284277,0.635051546,0.543345829,0.400636267,0.559809274,0.48985623,0.551327559
0.31625756,0.257554672,0.343592808,0.531271478,0.285379569,0.12602333,0.235920116,0.555591054,0.22996829
0.460690146,0.597912525,0.426764281,0.634707904,0.566307404,0.320593849,0.476884804,0.446325879,0.47512897
0.577018855,0.377385686,0.552766572,0.613402062,0.388238051,0.432025451,0.581231428,0.486501597,0.581617682
0.436855212,0.38528827,0.409831167,0.640549828,0.317244611,0.281527041,0.436804644,0.421246006,0.433006768
0.429740306,0.299105368,0.413815429,0.623024055,0.3158388,0.30795334,0.458226798,0.432028754,0.461877041
0.283173248,0.278230616,0.32765576,0.497250859,0.309044049,0.207635207,0.344412964,0.414217252,0.344029533
0.191035219,0.14527833,0.169580158,0.172268041,0.060028116,0.161314952,0.268260659,0.038602236,0.286288987
0.251156172,0.144085487,0.224762189,0.099621993,0.056185567,0.235546129,0.357611775,0.019153355,0.379052487
0.270366418,0.270328032,0.283330843,0.775945017,0.249062793,0.176330859,0.308271716,0.401757188,0.307586729
